Bryan Chavez,113572634,M,Staff,38404.72,33
Stephanie Anderson,366894924,F,4,2
Matthew Collins,009482611,M,1.822,1
Daniel Kim,573230935,M,4,2
Courtney Cox,589882464,F,0.092,3
Bryan Howard,832571323,M,4,3
Kenneth Thomas,790633325,M,3.903,1
Lindsey Evans,156457074,F,0.057,4
Adam Price,260680578,M,Faculty,66992.64,Instructor
Justin Sanchez,000929642,M,0.799,2
Jose Morales,365097867,M,4,1
Michelle Robinson,909700120,F,Staff,38397.87,27
Christopher Reed,742356416,M,0.09,4
Angela Campbell,691409101,F,1.277,1
Steven White,718590557,M,0.816,4
Robert Flores,253100009,M,4,2
Jessica Gutierrez,968816935,F,2.809,4
Kelly Campbell,423912163,F,4,3
Jessica Diaz,160107681,F,2.007,4
Alicia Kim,322578830,F,3.119,2
Vanessa White,267979575,F,2.843,3
Joshua Allen,163944426,M,0.613,4
Bradley Morgan,354241548,M,3.797,3
Crystal Flores,754302959,F,Staff,48012.6,23
Tiffany Long,998537195,F,Staff,39773.9,21
Ryan Brooks,931722274,M,0.762,2
Jesse Castillo,531720310,F,0.223,1
Rebecca Edwards,051926315,F,3.829,4
David King,813531890,M,3.402,4
Brian Cruz,487731736,M,3.088,3
Jeffrey Gutierrez,043065456,M,2.29,3
Rebecca Cox,434358847,F,Faculty,381408.69,Assistant Professor
Christopher Foster,577843914,M,3.144,2
Crystal Wilson,513842695,F,3.43,3
Joshua Martinez,057589195,M,2.898,3
Angela Morales,436045945,F,1.78,2
Jessica Jimenez,118563185,F,2.881,2
Alicia Foster,660429584,F,1.931,3
Jennifer Clark,421859208,F,1.139,1
Gregory Stewart,855311763,M,Faculty,145952.25,Professor
Tiffany Long,617338165,F,Faculty,351677.72,Associate Professor
Elizabeth Cook,277856141,F,4,3
David Ramirez,181368057,M,1.708,4
Kimberly Murphy,913815491,F,0.435,3
Joseph Gray,015902546,M,Staff,32618.92,69
Joseph Cruz,411944900,M,0.529,3
Tiffany King,131082029,F,3.55,4
Michelle Lee,527880674,F,3.253,4
William Wright,470289789,M,2.845,2
Steven Morales,494198090,M,Faculty,439303.19,Professor
Cody Stewart,574450521,M,Staff,28319.24,68
Megan Baker,366817199,F,Faculty,111258.87,Instructor
Nicole Wilson,701656810,F,0.923,4
Joseph White,650496229,M,1.905,3
Dustin Reyes,514759577,M,4,2
Allison Scott,921048630,F,Faculty,75931.06,Associate Professor
Bradley Evans,832967662,M,1.097,2
Jason Long,878554319,M,3.291,2
Daniel Clark,326180478,M,2.541,3
Zachary Morgan,833993231,M,4,3
Lauren Sanchez,536787600,F,Staff,49205.26,40
Mary Gomez,503422648,F,Faculty,60026.15,Assistant Professor
Stephen Taylor,690470648,M,2.334,2
Andrew Cooper,291310175,M,4,1
Michael Nguyen,816922191,M,1.852,3
Samantha Martin,621187998,F,0.748,1
Kimberly Martin,424646995,F,2.4,3
Jamie Howard,470181479,M,3.03,1
Heather Jackson,686076557,F,Staff,44042.44,24
Jamie Gonzalez,590681916,F,4,1
Kyle King,456678739,M,Staff,18929.87,33
Ryan Davis,694849367,M,2.462,2
Ashley Lopez,493765962,F,4,2
Danielle Peterson,752343020,F,4,2
Christina Rodriguez,169819908,F,4,4
Lindsay Garcia,593134954,F,1.886,3
Amy Perez,669573708,F,4,3
Melissa Long,292885013,F,1.246,3
Richard Martin,902623967,M,3.785,3
Jamie Rivera,072036302,M,3.731,1
Jesse Gonzalez,996133120,F,Faculty,146431.73,Professor
Alexander Mendoza,136570159,M,4,3
Charles Mendoza,985625565,M,Faculty,69380.52,Professor
Erin Patel,209044378,F,1.49,3
Andrea Ramirez,682903612,F,1.321,2
Jacob Martin,151928280,M,Staff,22092.82,84
Jennifer Hill,729881920,F,4,2
Mark King,947704371,M,1.047,4
Allison Diaz,279742535,F,3.691,1
Kevin Cox,040365887,M,1.379,3
Rachel Patel,106747411,F,0.925,3
Sean Gutierrez,030074605,M,3.49,4
Charles Robinson,808771031,M,4,3
Kristen Murphy,050318332,F,0.935,4
Robert Robinson,469961379,M,4,3
Kyle Gray,637672206,M,1.07,3
Nicole Murphy,282489963,F,2.44,4
Jeremy King,523413256,M,1.733,3
Travis Nguyen,119036305,M,1.67,1
Danielle Diaz,123499920,F,1.544,4
Brian Miller,329767473,M,Staff,44522.84,60
Angela Green,357425518,F,1.618,4
Jesse Hall,645840611,M,4,1
Zachary Jimenez,887899682,M,1.986,1
Eric Green,063815488,M,1.141,2
Jamie Hall,329840196,F,Staff,15734.78,34
Jamie Roberts,076264898,F,3.481,3
Eric Johnson,763711051,M,4,1
Brandon Watson,542073556,M,1.495,4
Benjamin Rivera,608883815,M,4,2
Richard Young,602368830,M,4,3
Lindsey Lee,760210407,F,Staff,18620.34,27
Erin Myers,918611682,F,0.153,3
Tiffany Flores,957004862,F,3.741,2
Vanessa Lewis,164590591,F,Staff,39183.71,29
Rachel Rogers,100792397,F,1.684,2
Bradley Clark,946075555,M,Staff,36983.22,66
Shannon Lee,713907199,F,1.616,3
Christina Scott,293729790,F,0.342,4
Christina Walker,037520295,F,3.096,3
Kelly Walker,581557378,F,Staff,29602.61,61
Christine Brooks,723029872,F,3.696,3
Christopher Lewis,165880663,M,1.069,1
Samantha Robinson,499233005,F,3.334,4
Rebecca Murphy,749540554,F,0.812,4
Erin Johnson,247535374,F,0.738,1
Mary Myers,490130467,F,1.812,2
Ashley Alvarez,736135469,F,Faculty,472907.53,Assistant Professor
Paul Jackson,745913814,M,Staff,34730.91,87
Jeremy Mitchell,024215174,M,1.78,1
Stephanie Garcia,782920186,F,Staff,39933.35,26
Christine Morris,018300962,F,Staff,42141.02,46
Kenneth Nelson,751603358,M,1.415,1
Lisa Gutierrez,374423772,F,Staff,24619.91,71
Steven Morgan,742885973,M,4,4
Brittany James,090235945,F,4,3
Kristen Patel,219838681,F,0.322,3
Andrea Morales,820565455,F,Staff,41062.53,29
Sara Walker,271981641,F,1.345,1
Erica Alvarez,135092508,F,4,3
Danielle Bailey,469600230,F,2.079,4
Laura Wright,737821620,F,2.371,1
Stephanie Morales,790799169,F,0.424,4
Cody Diaz,231754099,M,1.037,2
Emily Nguyen,446343185,F,1.099,2
Tiffany Myers,537809526,F,1.983,2
Danielle Martinez,418484089,F,2.663,3
Christopher Gonzalez,315163200,M,2.483,2
Matthew Long,308307586,M,2.87,4
Scott Jones,291512688,M,Faculty,326487.81,Associate Professor
Christina Baker,832301413,F,4,1
Ryan Parker,592060411,M,3.163,1
Mark Nelson,478238573,M,1.802,2
Eric Allen,471615100,M,2.749,4
Jonathan Morgan,168959328,M,1.693,3
Justin Morales,473968449,M,1.136,4
Anthony Williams,240081400,M,4,4
Katie Peterson,875817843,F,2.932,3
Lauren Adams,383023843,F,2.968,4
Ashley Ramirez,481433235,F,2.215,1
Michael Jones,891445980,M,1.866,3
Megan Reed,550792943,F,Staff,16912.55,30
Joseph Green,461868827,M,2.173,4
Stephanie Ross,319519784,F,4,2
Christine Gutierrez,292988307,F,1.125,3
Jesse Morales,243735679,F,4,3
Joseph Sanders,768928471,M,Staff,37207.94,58
Courtney Perez,017642506,F,Faculty,111586.75,Professor
Kyle Adams,069700262,M,3.989,3
Samuel Lopez,015579672,M,2.663,2
Kimberly Scott,052037357,F,1.838,1
Brian Peterson,794085587,M,1.376,2
Adam Harris,977972209,M,3.036,4
Kenneth Anderson,215612805,M,2.977,3
Jesse Evans,739210961,M,0.905,2
Rebecca Hernandez,604843221,F,Faculty,498561.03,Professor
Heather Kelly,029690694,F,Faculty,384816.62,Professor
Jacob Baker,223912668,M,3.477,1
Cody Sanchez,276824057,M,3.984,1
Michelle Lee,858788622,F,0.93,1
Jamie Jackson,707816211,F,1.315,3
Anthony Turner,777602550,M,0.741,4
Elizabeth Turner,666369944,F,2.498,4
Amber Perez,054576735,F,0.289,3
Kevin Harris,262402711,M,0.197,4
Lauren Jones,234941231,F,1.838,1
Samuel Castillo,946189671,M,1.344,2
Tiffany Rogers,087810027,F,Staff,45088.71,74
Sarah Rogers,293190993,F,1.804,3
Paul Perez,363815563,M,2.169,1
Joseph Patel,478077704,M,4,1
Laura Price,184498923,F,4,4
Gregory Cook,668705150,M,2.66,4
Ryan Jones,007802341,M,3.048,4
Melissa Perez,942078239,F,3.147,4
Steven Allen,294413823,M,1.977,4
Megan Jackson,306193948,F,1.362,2
Daniel Morales,775269834,M,0.567,4
James Ortiz,752063313,M,Staff,30426.72,93
Travis Diaz,919744340,M,1.729,2
Lindsay Clark,209461142,F,Staff,22137.4,92
Alicia Harris,170093176,F,1.184,1
Aaron Kelly,284521153,M,4,3
Aaron Harris,464789573,M,2.302,4
Joshua Turner,405753132,M,4,1
Rachel Thompson,453614010,F,3.439,2
Lindsey Reyes,420229249,F,Staff,21792.78,79
Mary Reyes,435351589,F,3.671,4
Christina Reed,963124529,F,Staff,42070.9,55
Lisa Williams,247261770,F,0.862,2
Scott Long,751188362,M,4,2
Danielle King,502714880,F,4,1
Ryan Miller,268380161,M,1.852,2
Samuel Mendoza,226331950,M,4,2
Cody Chavez,308214732,M,Faculty,154649.66,Instructor
Angela Phillips,366699798,F,4,1
Shannon Sanchez,165194493,F,1.613,3
Benjamin Carter,922057049,M,2.36,2
Amy Garcia,000541383,F,1.391,4
Katherine Roberts,944394433,F,Faculty,242093.38,Assistant Professor
Stephanie Flores,052342952,F,3.398,1
Sean Kelly,222544837,M,2.336,3
Melissa Richardson,301060289,F,1.339,2
Amber Nelson,079435686,F,Faculty,468156.34,Professor
Michelle Howard,197690580,F,1.694,4
Melissa Carter,611591158,F,1.261,1
Adam Lee,632125165,M,4,1
Allison Gonzalez,688030650,F,Staff,37188.47,16
Zachary Price,733160780,M,1.122,1
Patrick Chavez,102502664,M,2.574,1
Jamie Smith,084744549,F,Staff,30943.26,71
Katie Gomez,923539738,F,2.017,4
Courtney Wilson,631984743,F,0.295,4
John Sanders,117068493,M,3.52,3
Ryan Richardson,246514865,M,1.022,4
Jessica Mitchell,373698886,F,2.979,1
John Scott,456172022,M,3.615,1
Courtney Rivera,458510852,F,3.829,2
Justin Anderson,703383651,M,3.069,2
Laura Allen,974603647,F,0.136,2
Angela Campbell,745483199,F,4,4
Cody Nguyen,640538342,M,0.97,4
Samantha Gutierrez,780616838,F,2.541,3
William Diaz,234133305,M,3.366,2
Ashley Mendoza,140068349,F,1.43,4
Tyler Thomas,360091217,M,4,4
Jonathan Clark,564391805,M,2.729,4
Sean Brown,305281465,M,Faculty,169918.38,Associate Professor
Alexander Rodriguez,993427779,M,3.377,1
Bryan Ramirez,013451702,M,0.096,3
Katherine Jones,994950026,F,2.015,2
William Lewis,074953216,M,3.757,2
James Watson,369423939,M,3.9,3
Stephen Ruiz,533002749,M,2.075,4
Daniel Morgan,350280667,M,1.213,3
Michelle Cook,806227528,F,Faculty,127561.17,Instructor
Andrew Diaz,079596354,M,4,1
James Perez,651038916,M,1.707,4
Amy Rodriguez,366745231,F,0.728,2
Timothy Castillo,824398522,M,2.651,4
Dustin Cook,670632674,M,3.188,2
Dustin Martin,572365770,M,2.846,2
Jamie Torres,686398283,F,3.201,1
Rebecca Phillips,333568762,F,2.644,2
Kristen Wood,350064151,F,4,2
Nathan Cruz,280578337,M,Faculty,478106.19,Associate Professor
Lisa Lewis,442518478,F,3.936,3
Heather Perez,496407117,F,4,2
Jennifer Wilson,889490331,F,3.511,4
Ashley Moore,119098963,F,4,3
Kenneth Lewis,309105204,M,3.908,3
Allison Alvarez,151027549,F,1.23,4
Kristen Ward,209973333,F,2.552,2
Stephen Anderson,071944563,M,1.19,2
Laura Thomas,886926928,F,2.882,4
Alexander Nelson,315545956,M,2.734,4
David Peterson,764085616,M,3.2,4
Rachel Turner,276512614,F,3.673,2
Nicole Ramirez,070545866,F,3.228,2
Amber Mitchell,635861244,F,Faculty,453707.03,Associate Professor
Amanda Long,904924045,F,1.867,2
Lauren Jones,911143637,F,0.359,4
Jeffrey Johnson,493485924,M,0.157,2
Nicole Jones,924354174,F,Faculty,89331.06,Instructor
Andrea Miller,516595774,F,0.571,2
Mary Torres,386317555,F,Staff,41649.29,36
Rebecca Price,182192561,F,3.522,4
Mary Lopez,528497459,F,Staff,12432.64,96
Ryan Morales,912150963,M,4,1
Tiffany Gutierrez,206328123,F,Faculty,120504.8,Associate Professor
Brittany Adams,128107247,F,3.456,1
Amy James,816289485,F,4,3
Sarah Jackson,603653263,F,0.905,4
Sean Murphy,179363596,M,3.065,1
Andrew Williams,961379656,M,4,3
Samantha Clark,170861334,F,3.911,4
Christopher Kim,140429839,M,2.962,2
Lindsey Cox,405876758,F,3.51,4
Kristen Reyes,847307728,F,2.179,3
Dustin Cook,485808462,M,Staff,19368.96,60
Amanda Scott,664216699,F,Staff,26006.48,52
Kenneth Adams,736796687,M,Faculty,417284.22,Associate Professor
Nicole Thomas,373642272,F,4,1
Ashley Martin,073993963,F,3.466,4
John Ramirez,567766841,M,4,4
Joshua Peterson,974654856,M,0.563,2
Ryan Young,754639322,M,1.711,4
Scott Turner,441354105,M,1.87,4
Joseph Smith,090793230,M,3.115,4
Angela Gutierrez,791177915,F,0.137,1
Sarah Ortiz,258819777,F,Faculty,90763.45,Associate Professor
James Campbell,066425245,M,Staff,48916.23,46
Jason Clark,858526166,M,Faculty,459273.22,Associate Professor
David Howard,410176542,M,Faculty,82090.2,Professor
Erin Ross,900678121,F,3.921,1
Thomas Ross,420005006,M,3.759,2
Brian Myers,466744023,M,0.451,1
Lindsay Howard,979135271,F,0.636,3
Amy Ward,769015429,F,1.283,4
Michael Diaz,664068304,M,0.563,4
Rachel Anderson,402445265,F,Faculty,419392.59,Professor
Scott Williams,935643108,M,0.435,4
Michael Jackson,564840413,M,Faculty,179642.48,Professor
Lauren Allen,955455713,F,3.547,4
Jesse Turner,119442250,M,4,3
Jacob Hall,834280862,M,0.095,4
James Johnson,808492979,M,Faculty,370487.09,Associate Professor
Emily Cruz,979298204,F,4,1
Kevin Young,295627193,M,1.716,4
Jennifer Jackson,527342178,F,4,3
Michael Kim,428720477,M,2.543,3
Eric Thomas,185958320,M,0.847,2
Cody Robinson,935751498,M,Faculty,381456.34,Instructor
Brian Long,497506480,M,4,1
Bryan Gray,532848208,M,3.933,4
Alicia Roberts,879888063,F,3.609,1
David Long,176842009,M,0.142,4
Katie Diaz,878437050,F,3.425,2
Laura Ortiz,016425426,F,1.523,3
Brandon Ramirez,201951986,M,3.922,3
Kelly Cruz,376447929,F,2.313,2
Nicholas Wood,950799067,M,2.044,3
Cody Sanders,266038333,M,Faculty,453403.66,Instructor
Brittany Castillo,246500595,F,2.462,1
Jesse Hill,935272379,F,1.755,1
Dustin Phillips,289221079,M,Staff,22567.39,83
Christopher Jackson,084937033,M,3.015,4
Megan Morris,596787407,F,3.603,4
Daniel Price,720047123,M,0.218,3
Laura Torres,937874930,F,3.186,2
Jesse Johnson,981782786,F,2.924,4
Joseph Davis,105500451,M,1.344,2
Tyler Taylor,517797014,M,2.483,2
Steven Edwards,523031982,M,3.6,3
Angela Taylor,119602833,F,Staff,18933.24,28
John Turner,433459141,M,3.767,2
Alicia Bennett,352860828,F,2.58,2
Crystal Cooper,779560673,F,1.935,3
Amy Robinson,190990826,F,0.022,3
Timothy Phillips,293675553,M,Staff,14483.91,49
Ashley Foster,633301414,F,Faculty,112945.5,Associate Professor
Ryan Murphy,860377724,M,0.572,4
Adam Perez,150291593,M,4,1
Jesse Green,538612359,F,2.493,1
Jennifer Johnson,266679427,F,0.19,2
Brandon Reyes,244151959,M,1.816,2
Michelle Lopez,673637536,F,0.98,4
Matthew Gomez,918488846,M,0.681,2
Jesse Jimenez,479476962,F,0.047,1
John Howard,372130817,M,Faculty,408921.44,Professor
Elizabeth Alvarez,030788574,F,1.887,2
Zachary Gray,534986957,M,3.855,3
Amy Hall,300516618,F,Faculty,443497.09,Assistant Professor
Mark Thomas,510030764,M,2.563,4
Cody Stewart,586021709,M,3.808,4
Kyle Lewis,682837765,M,0.325,4
Jeremy Brown,367692519,M,1.7,2
Samuel Wright,876211386,M,0.002,3
Andrew Alvarez,411069733,M,1.919,2
Gregory Brooks,036632983,M,4,2
Bryan Ward,119880443,M,1.651,3
Heather Castillo,062052960,F,2.809,1
Christina Long,002633764,F,0.737,3
Richard Smith,662216968,M,0.719,4
Stephen Ward,409621564,M,Faculty,338670.16,Associate Professor
Emily Lewis,185833822,F,0.065,2
Ashley James,024390927,F,0.604,1
Elizabeth Patel,433285301,F,4,3
Lindsey Ramirez,614170725,F,1.682,2
Robert Wilson,818261329,M,0.92,2
Bradley Jimenez,656633838,M,Faculty,164042.84,Instructor
Brian Watson,576436782,M,0.606,2
Crystal Bennett,340578880,F,1.663,3
Lindsey Torres,057232441,F,1.59,2
Nathan Brown,986556744,M,4,2
Bradley Morris,277870100,M,Faculty,472841.91,Instructor
Jacob Torres,621073574,M,0.713,3
Allison Rogers,683013210,F,Staff,20865.44,20
Paul Collins,824270532,M,2.811,3
Nathan Carter,969527129,M,Faculty,367290.28,Instructor
Bryan Reyes,523927967,M,2.323,1
Eric Jones,095065351,M,4,1
Lisa Gutierrez,008737668,F,Staff,14095.38,6
Brandon Perez,569311392,M,Faculty,60609.9,Professor
Kristen Cook,647705853,F,0.272,2
Jonathan Hill,239345741,M,1.56,4
Lauren Cox,825736531,F,1.09,2
Jamie Adams,367003975,F,Staff,20423.11,36
Timothy Cooper,282207850,M,3.965,2
Ashley Garcia,017987820,F,Faculty,447452.53,Professor
Alexander Morales,056673273,M,4,2
Brian Adams,131303014,M,3.289,3
Andrew Ortiz,357790644,M,1.894,1
Allison Phillips,223222215,F,4,4
David Kelly,684560180,M,4,2
Andrew Johnson,224035559,M,4,2
Nicholas Kim,295042111,M,Faculty,316275.69,Instructor
Daniel Williams,000495130,M,4,2
Ashley Rivera,264051847,F,3.243,4
Adam Price,414225666,M,2.905,2
Jamie Ward,094074356,F,Faculty,434075.31,Associate Professor
Sara Wood,031359967,F,Staff,19719.87,26
Joshua Richardson,392126514,M,Faculty,253330.75,Professor
Cody Bailey,224885336,M,Staff,28197.4,83
Jesse Harris,832279017,F,3.355,4
Scott Taylor,876124824,M,Staff,24219.56,80
Sara Foster,706360481,F,1.623,4
Jeffrey Reyes,686977501,M,Faculty,321858.38,Professor
Bryan Patel,112367505,M,1.699,4
Andrea Nelson,004002265,F,2.397,1
Bradley Anderson,028546768,M,Staff,43636.85,17
Vanessa Ortiz,269943129,F,0.614,4
Andrea Sanders,473136582,F,3.758,3
Daniel Ortiz,061193590,M,3.412,2
Christine Adams,486025403,F,2.624,1
Amy Chavez,960001535,F,1.145,4
Crystal Mitchell,528950885,F,Staff,14485.05,1
Alexander Chavez,277384449,M,2.985,4
Melissa Cook,819987081,F,4,4
Lindsay Collins,666989323,F,4,1
Steven Watson,403624711,M,4,1
Kristen Ross,842528357,F,Staff,44249.81,68
Aaron Chavez,468991864,M,Faculty,317499.97,Professor
James Gutierrez,939192305,M,2.545,4
Sara Thomas,185176219,F,Faculty,445185.28,Associate Professor
Katherine Howard,023412520,F,0.193,1
Paul Bailey,311394131,M,Staff,19032.41,69
Jamie Lee,259040468,M,0.143,1
Jose Hill,926813990,M,Staff,25220.56,21
Christopher Perez,898999783,M,0.254,2
Bryan Diaz,295917120,M,2.755,2
Erica Mitchell,015907656,F,3.176,3
Brittany Stewart,362420496,F,1.495,3
Brandon Ortiz,020925021,M,3.642,4
Joshua Garcia,739382374,M,3.568,3
Patrick Myers,913777672,M,0.668,1
Bryan Ortiz,075705786,M,2.611,1
Kyle Campbell,414993918,M,0.833,3
Richard Jimenez,018646504,M,1.492,3
William Long,647942126,M,1.864,2
Samantha Wright,128150543,F,1.338,3
Robert Jackson,100847473,M,2.518,2
Michelle Diaz,025480806,F,4,4
Jason King,070499474,M,4,1
Amber Morales,266280858,F,1.734,2
Megan Allen,487975362,F,0.842,2
Jason Wood,283106884,M,2.851,1
Allison Thompson,949686016,F,Faculty,222121.48,Instructor
Joseph Hughes,610318453,M,4,1
William Mendoza,486037027,M,2.47,2
Adam Wilson,681966283,M,2.434,1
Lindsay Adams,612285595,F,2.027,3
Alexander Morales,620011252,M,0.876,4
Dustin Cox,375512001,M,3.51,2
Heather Nelson,293273859,F,Staff,45726.58,33
Amy Clark,675636051,F,3.313,3
Richard Torres,011683534,M,0.012,3
Katherine Diaz,555564201,F,3.022,2
Katie Walker,061141705,F,1.761,3
Jonathan Hill,015984272,M,2.514,1
Crystal Sanchez,984974702,F,3.666,4
Ryan Young,390730581,M,Staff,33722.94,58
Emily Bennett,894021070,F,2.155,3
Brittany Mendoza,308162447,F,3.035,2
Adam Jackson,186908577,M,2.087,3
Sean Hughes,649393200,M,1.674,4
Katie Cruz,947575901,F,4,4
Jamie Gray,126640298,M,Staff,28670.68,61
Stephanie Cooper,025007133,F,3.747,2
Rebecca Green,343105150,F,3.415,3
Patrick Collins,698713174,M,4,3
Jennifer James,977349806,F,4,1
John Jackson,428779343,M,4,1
Jeffrey Murphy,058491728,M,3.667,4
Jesse Green,703553215,M,Staff,41127.25,10
Lindsey Martin,200868596,F,4,1
Elizabeth Stewart,714264201,F,4,3
Sean Nguyen,910864861,M,1.988,4
Amy Myers,454121527,F,1.994,4
Shannon Wood,345478627,F,0.414,3
Jamie Peterson,470691504,M,1.205,2
Alicia Stewart,068304142,F,2.275,4
Stephanie Thomas,302476350,F,2.685,4
Nicholas Wright,195276374,M,2.79,4
Tiffany Reed,377357127,F,2.343,4
Laura Myers,670609562,F,1.746,4
Heather Parker,323503061,F,Staff,25702.27,66
Elizabeth Clark,297767492,F,0.417,1
Megan Hill,047611129,F,Staff,45809.45,31
Heather Cruz,913969817,F,Staff,29654.06,87
Charles Wood,654384683,M,4,3
Brittany Gutierrez,959849717,F,4,3
Brandon Gonzalez,428017759,M,4,4
Paul Murphy,581815087,M,0.275,1
Shannon Edwards,327052915,F,4,4
Bradley Wood,469949307,M,Staff,43025.45,37
Jamie Lee,086874798,M,3.286,2
Brian Cook,266091418,M,2.043,4
Joseph Diaz,580977032,M,0.947,2
Jamie Moore,806422000,F,2.009,1
Ryan Watson,819718443,M,4,4
Melissa Carter,509453638,F,0.015,3
Bradley Hill,234361565,M,Faculty,455299.94,Assistant Professor
Jason Howard,612885838,M,2.237,4
Brian Diaz,030933161,M,1.606,2
Eric Adams,553806282,M,2.261,4
Christine Phillips,727778484,F,1.178,4
Christine King,714577929,F,1.211,3
Amanda Hill,543831913,F,0.653,3
Alexander Kelly,217485423,M,1.411,1
Joseph Anderson,293039649,M,4,3
Anthony Hill,625033919,M,0.093,1
Bryan Green,775425709,M,Faculty,129743.19,Assistant Professor
Aaron Lopez,252437451,M,4,4
Jamie Smith,838686741,F,0.188,2
Jamie Collins,294574726,M,1.924,4
Cody Campbell,642722777,M,0.018,2
Amber Lee,051546485,F,1.195,3
Christine Bennett,771260718,F,0.758,1
Amy Scott,975158832,F,1.003,2
Kristen Rogers,615918874,F,0.821,4
Thomas Ortiz,909645512,M,Staff,12824.76,43
Shannon Nguyen,595030010,F,Staff,49288.1,10
Lindsay Hernandez,204951305,F,1.286,3
David Morales,014917649,M,1.084,3
Gregory Morris,076490391,M,3.33,3
Elizabeth Cox,036639072,F,1.359,1
Steven Wright,148669332,M,2.561,3
Tyler Collins,369609465,M,2.44,4
Jason Brown,692836909,M,4,1
Christine Nguyen,813490617,F,4,3
Shannon Evans,767076959,F,4,4
Jamie Roberts,907237086,M,1.993,2
Crystal Mendoza,244251335,F,0.256,4
Justin Peterson,231413083,M,Staff,44189.43,89
Travis Ramos,238883865,M,3.956,1
Scott Patel,715689944,M,0.95,4
Samantha Allen,037618358,F,Faculty,290029.78,Associate Professor
Charles Edwards,735739736,M,4,3
Nathan Bennett,690271360,M,1.508,2
Amanda Ward,490577707,F,2.913,3
Jason Ramos,941833876,M,3.989,2
Rachel Hall,930683794,F,Staff,35178.93,34
Timothy Morris,751623054,M,Faculty,246961.84,Instructor
William Flores,051319716,M,2.245,4
Megan Gutierrez,461423347,F,1.967,1
John Collins,359544096,M,1.186,1
Erica Jimenez,141634439,F,Faculty,78878.2,Associate Professor
Jose Kim,097384336,M,3.336,2
Tyler Evans,049800694,M,4,2
Matthew Scott,542809892,M,0.61,3
Rebecca Ramirez,204036665,F,3.394,1
Amanda Mendoza,681994357,F,Staff,19991.52,12
Jacob Ramirez,683453935,M,4,2
Andrew Miller,124999054,M,1.763,1
David Cook,679199992,M,1.421,4
Sean Green,398543552,M,2.627,4
Sara Moore,742208464,F,Faculty,67371.15,Associate Professor
Tyler Gutierrez,617155340,M,0.03,2
Richard Moore,988744204,M,3.719,3
Adam Brown,826836070,M,1.623,2
Michael Harris,997161705,M,1.088,3
Richard Rivera,834620427,M,1.764,4
Christina Lee,159647792,F,2.911,1
Thomas Hughes,267719143,M,4,3
Lisa King,535898398,F,1.488,4
Zachary Thompson,990368376,M,1.637,1
Dustin Kim,037627104,M,1.026,4
Jacob Alvarez,372683430,M,Faculty,98180.55,Instructor
Nicole Phillips,693103710,F,1.122,3
Jamie Young,193046156,F,4,2
Tiffany Hall,234966876,F,2.464,1
Robert Ramirez,506374206,M,Staff,26009.53,52
Benjamin Nguyen,206580592,M,1.79,2
Jesse Thomas,207583684,M,4,1
Scott Johnson,310118507,M,3.989,3
David Johnson,983456731,M,0.697,3
Dustin Torres,381103682,M,0.821,1
Steven Adams,949675444,M,4,2
Kimberly Patel,279538629,F,1.63,1
Lindsey Clark,990904718,F,1.466,4
Heather Rivera,587671078,F,3.589,4
Jamie Jones,238742894,M,1.594,3
Scott Thompson,759113078,M,4,2
