Vanessa Thomas,001267518,F,3.283,3
Nicole Mitchell,001271212,F,3.518,4
Adam Ortiz,001313775,M,2.947,4
Angela Roberts,001315732,F,4.0,3
Sarah Garcia,001355220,F,3.737,4
Travis Torres,001371096,M,1.687,4
Katie Thomas,001377492,F,4.0,1
Shannon Alvarez,001382898,F,2.66,2
Cody Patel,001384277,M,3.024,1
Kyle Parker,001385119,M,4.0,4
Sara Clark,001389469,F,4.0,3
Charles Scott,001393187,M,4.0,1
Laura Foster,001419825,F,3.269,3
Daniel Cox,001438889,M,4.0,3
Zachary Lee,001444987,M,4.0,1
Dustin Morris,001445127,M,0.663,3
Stephen Peterson,001519278,M,2.166,3
Jamie Richardson,001551952,F,1.154,4
Patrick Morris,001555990,M,1.044,4
Justin Clark,001560370,M,3.614,3
Jennifer Richardson,001605679,F,2.188,2
Kenneth Taylor,001612228,M,2.715,2
Crystal Bailey,001616496,F,3.572,1
Jessica Morris,001619184,F,2.303,2
Melissa Ross,001622229,F,3.284,3
Kristen Miller,001631918,F,1.784,1
Charles Mendoza,001686082,M,4.0,1
Scott Moore,001687671,M,4.0,2
Nathan Mitchell,001691466,M,0.801,1
Bradley Johnson,001706530,M,1.367,2
Anthony Diaz,001730121,M,1.586,2
Crystal Gonzalez,001738748,F,1.663,3
Lauren Scott,001741520,F,2.196,4
Scott Thompson,001744198,M,1.108,2
Aaron Adams,001779921,M,4.0,4
Nicholas Richardson,001780015,M,0.823,1
Kelly Allen,001795385,F,1.638,2
Nicole Turner,001806584,F,2.217,3
Sara Peterson,001819494,F,2.628,4
Heather Williams,001863960,F,1.88,4
Joshua Thomas,001882443,M,4.0,3
Melissa Sanchez,001896141,F,2.228,3
Melissa Moore,001907609,F,1.996,2
Charles Thompson,001912597,M,1.642,3
Samuel Perez,001918836,M,4.0,1
Patrick Rodriguez,001928087,M,0.747,3
Amy Morris,001941509,F,3.696,2
Sara Allen,001977655,F,1.467,4
Jeffrey Clark,002018835,M,0.733,1
Jamie Gomez,002046729,F,3.126,3
Katie Gomez,002048423,F,0.378,4
Rachel Robinson,002048478,F,2.587,2
Tiffany Perez,002052642,F,3.783,1
Elizabeth Evans,002079678,F,1.396,3
Sara Stewart,002113925,F,4.0,3
Jason Flores,002120627,M,3.878,1
Angela Ward,002141728,F,3.461,2
Amy White,002154514,F,0.484,3
Matthew Lee,002169074,M,1.534,1
Timothy Hernandez,002177151,M,1.26,1
Kevin Kelly,002183640,M,4.0,4
Jamie Robinson,002190076,F,3.03,3
Kyle Chavez,002199091,M,1.494,3
Sarah Flores,002213500,F,1.797,3
Jennifer Lee,002273597,F,2.805,2
Andrea Cook,002280907,F,3.907,2
Andrew Hughes,002281556,M,4.0,4
Joshua Ross,002287910,M,2.902,1
Brian Ramirez,002314302,M,0.198,2
James Taylor,002335339,M,3.434,4
Bradley King,002343675,M,4.0,2
Matthew Evans,002346576,M,1.734,3
Sara Morgan,002364615,F,0.275,3
Crystal Wilson,002384186,F,3.364,1
Shannon Cook,002385978,F,3.947,2
Michael Ward,002405786,M,3.83,3
Angela Rivera,002419843,F,1.342,3
Mary Lopez,002428814,F,3.522,2
Christina Price,002448227,F,3.865,1
Rachel Baker,002456033,F,4.0,1
Anthony Nguyen,002483733,M,4.0,2
Joseph Wright,002513285,M,2.965,3
Timothy Collins,002523011,M,1.517,3
Robert Lewis,002555277,M,3.047,4
Jamie Howard,002570825,F,3.104,3
Paul Howard,002578533,M,3.872,1
Kenneth Martin,002597799,M,1.403,3
Zachary King,002610621,M,4.0,1
Eric Campbell,002631844,M,2.418,2
Christina Long,002633764,F,0.737,3
David James,002633774,M,0.291,1
Kenneth Cruz,002666380,M,0.707,4
Mark Thompson,002669992,M,4.0,4
Kimberly Rivera,002687425,F,3.64,1
Christina Bennett,002688807,F,3.804,4
Ashley Gonzalez,002689967,F,0.795,1
Jonathan Jimenez,002696019,M,4.0,2
Sarah Roberts,002729930,F,1.258,4
Rebecca Ward,002748478,F,4.0,1
Brandon Mitchell,002771564,M,0.382,1
Amanda Ramirez,002791017,F,1.047,3
Ashley Ruiz,002800835,F,2.477,1
Nathan Turner,002827974,M,4.0,3
Sara Rodriguez,002852288,F,0.842,1
Lauren Baker,002879568,F,4.0,3
Stephanie Murphy,002882920,F,2.032,3
Megan Morgan,002907708,F,4.0,2
Rebecca Torres,002935316,F,0.553,2
Kimberly Scott,002938875,F,1.333,3
Jessica Lee,002965969,F,4.0,1
Samuel Cook,002979730,M,1.104,3
Alexander Rogers,002980190,M,0.981,4
Benjamin Alvarez,003027748,M,1.339,4
Erin Bailey,003049672,F,4.0,3
Jessica Jackson,003056891,F,4.0,3
Thomas Young,003060809,M,2.948,1
Laura Williams,003064400,F,0.768,4
Justin Morris,003078225,M,1.226,1
Charles Robinson,003081752,M,3.551,3
Daniel Gomez,003082412,M,2.324,2
Daniel Martin,003085960,M,3.213,1
Robert Johnson,003097395,M,0.573,2
Amanda Parker,003111264,F,2.061,3
Mary Carter,003116032,F,0.16,2
Allison Parker,003116585,F,2.156,2
Ryan Wilson,003123655,M,3.578,3
Amanda Reyes,003134986,F,3.399,4
Heather Patel,003142073,F,3.202,3
Aaron Brown,003155632,M,0.621,2
Andrew Garcia,003181280,M,4.0,3
Ashley Torres,003204529,F,1.584,1
Joseph King,003232116,M,0.567,2
Rachel Campbell,003255932,F,4.0,1
Ashley Ruiz,003259969,F,1.627,4
Rachel Young,003264898,F,1.655,1
Megan Anderson,003278723,F,0.673,4
Lisa Wood,003281620,F,3.584,3
Rebecca Bailey,003305084,F,2.764,3
Erica King,003317856,F,3.701,1
Erica Reyes,003321550,F,4.0,1
Lindsay Patel,003324746,F,1.007,2
Cody Price,003342589,M,2.372,1
Benjamin Morales,003355184,M,3.912,4
Alicia Cooper,003374855,F,2.733,2
Kevin Morris,003388992,M,1.768,2
Joseph Patel,003403213,M,1.233,4
Zachary Mendoza,003407571,M,1.665,1
James Clark,003428133,M,4.0,4
Justin Ortiz,003452495,M,1.485,3
Robert Thomas,003456955,M,3.148,3
Eric Cruz,003461505,M,4.0,2
Christina Baker,003477378,F,2.735,4
Angela Long,003483456,F,4.0,1
Nicholas Howard,003487497,M,3.457,2
Crystal Reyes,003492662,F,2.476,1
Christine Ross,003497414,F,3.167,4
Christine Lee,003527227,F,0.718,3
Travis Martin,003533732,M,4.0,4
Paul James,003536958,M,1.693,4
Stephen Lewis,003549220,M,3.297,3
Nathan Carter,003554497,M,1.899,1
Jeremy Carter,003582681,M,0.085,2
Michael Castillo,003587871,M,2.594,1
Anthony Thompson,003597018,M,1.832,2
Rebecca Wood,003600818,F,4.0,3
Matthew Myers,003617570,M,4.0,2
Allison Cruz,003631870,F,2.547,2
Laura Jimenez,003634422,F,3.835,2
Danielle Edwards,003664753,F,3.293,2
Jeffrey Gonzalez,003677804,M,4.0,2
Michael Stewart,003685299,M,1.559,1
Justin Collins,003688087,M,2.268,3
Timothy Ross,003690785,M,1.505,4
Amy Gutierrez,003716321,F,1.854,2
Benjamin Young,003721918,M,4.0,3
Timothy Kelly,003737705,M,2.345,4
Joshua Jackson,003741814,M,3.774,4
Jesse Walker,003758924,F,1.086,3
Sara Peterson,003759862,F,1.372,3
Eric Walker,003774205,M,3.496,1
Jacob Ramirez,003796009,M,1.326,2
Adam Cooper,003843412,M,4.0,1
Megan Ramirez,003882224,F,0.078,3
Jessica Ross,003884292,F,3.298,2
Jeremy Flores,003906261,M,3.707,3
Anthony Kim,003908526,M,3.94,1
Lisa Morris,003927285,F,0.897,4
Christina Reed,003932133,F,1.615,4
Tyler Wright,003941932,M,2.885,3
Samuel Gutierrez,003959432,M,4.0,2
Kristen Foster,003970687,F,4.0,3
Brian Gray,003983905,M,2.949,2
Cody Ortiz,003984156,M,1.765,1
Erica Hill,003986484,F,1.063,2
Andrea Nelson,004002265,F,2.397,1
Robert Nelson,004032033,M,2.1,4
Jesse Ramirez,004060269,F,1.919,1
Amy Diaz,004104117,F,0.354,3
Zachary Chavez,004107784,M,4.0,4
Jose Peterson,004110800,M,3.768,4
Sarah Turner,004128201,F,0.742,1
Gregory Hernandez,004145365,M,2.162,2
Vanessa Kelly,004160070,F,3.931,2
Kimberly Cook,004168847,F,1.563,3
Jeremy Morgan,004191928,M,3.226,3
Stephanie James,004193431,F,3.111,2
Jessica Ramos,004212970,F,3.584,2
Ashley Clark,004239397,F,0.003,2
Sara Turner,004241148,F,3.011,1
Alicia Johnson,004252178,F,1.838,4
Michelle Stewart,004280064,F,2.561,4
Richard Flores,004280486,M,3.124,3
Richard Stewart,004284377,M,3.877,4
Sean Morales,004301962,M,3.347,3
Travis Evans,004339082,M,2.0,4
Heather Watson,004355568,F,2.924,3
Travis Smith,004389598,M,3.303,4
Megan Parker,004420573,F,2.939,4
Robert Diaz,004430301,M,2.753,2
Charles Nelson,004435941,M,0.394,1
Emily Walker,004452194,F,2.796,4
Kristen Lee,004455158,F,4.0,2
Andrea Morales,004457394,F,1.002,4
Bradley Ortiz,004492817,M,2.666,1
Bradley King,004535238,M,2.238,3
Kimberly Lopez,004557438,F,0.981,4
Tiffany Gonzalez,004562010,F,3.054,1
Kevin Evans,004563706,M,3.724,2
William Sanders,004575003,M,4.0,1
Stephen Ramirez,004590030,M,4.0,2
Matthew Hill,004612751,M,1.393,2
Jonathan Roberts,004613794,M,4.0,1
Zachary Ward,004625584,M,4.0,3
Stephen Harris,004625645,M,4.0,2
Jonathan Price,004627991,M,2.02,3
Aaron Mendoza,004628170,M,2.02,3
Jamie Robinson,004629143,F,4.0,3
Lindsey Cooper,004645810,F,2.067,1
Alexander Castillo,004649023,M,1.032,3
Brittany Young,004652717,F,2.359,2
Elizabeth Peterson,004652926,F,1.585,1
Christine Cook,004669034,F,3.865,1
Nathan Anderson,004669471,M,0.007,3
David Cook,004678979,M,2.1,3
Katie Hughes,004728782,F,4.0,4
Crystal Morgan,004743116,F,2.327,1
Rachel Evans,004752764,F,3.267,4
Kimberly King,004789590,F,3.928,1
Brian Alvarez,004793899,M,2.004,2
Kyle Bailey,004805066,M,1.85,2
Rebecca Brown,004851197,F,4.0,4
Jesse Gomez,004857393,M,3.27,2
Tiffany Stewart,004869643,F,4.0,4
Nicole Rogers,004901911,F,2.537,2
Katherine Flores,004904632,F,4.0,4
Danielle Cooper,004911831,F,1.273,2
Jesse Collins,004912090,M,3.352,4
Andrew Carter,004913360,M,3.954,2
Dustin Ruiz,004932868,M,4.0,4
Travis Patel,004974079,M,4.0,3
Erica Howard,005012620,F,0.74,4
Jesse Mitchell,005015129,M,2.634,1
Mark Rodriguez,005031622,M,2.245,2
Jesse Lee,005064169,M,2.286,3
Jesse Smith,005089685,F,2.935,4
Andrew White,005099944,M,4.0,4
Jesse Foster,005120750,F,3.224,3
Stephanie James,005122112,F,3.447,3
Alicia Rivera,005129386,F,3.339,1
Travis Roberts,005134042,M,0.062,3
Jeffrey Evans,005147387,M,3.055,4
Rebecca Gutierrez,005184605,F,3.353,4
Rebecca Bailey,005193390,F,3.993,4
Kyle Lewis,005201738,M,1.335,4
William Bennett,005210665,M,4.0,2
Steven Stewart,005214143,M,1.383,4
Alicia Davis,005219389,F,2.088,4
Aaron Torres,005241187,M,1.026,4
James Foster,005253861,M,1.474,4
Erin Wright,005269604,F,4.0,3
Vanessa Stewart,005276742,F,2.996,4
Jacob Wilson,005277392,M,3.474,3
Stephen Sanchez,005282191,M,0.586,2
Ryan Adams,005283453,M,3.93,4
Rebecca Sanchez,005298552,F,0.767,3
Kelly Evans,005308651,F,1.196,2
Kyle Brooks,005310848,M,4.0,1
Ashley Price,005313023,F,0.387,4
Jessica Roberts,005331272,F,2.918,3
David Collins,005338509,M,0.169,2
Michelle Lopez,005338874,F,3.755,3
Lauren Martin,005349260,F,4.0,2
Laura Rogers,005364639,F,1.309,1
Adam Taylor,005378502,M,0.494,4
Eric Chavez,005395399,M,2.567,1
David Diaz,005427232,M,0.418,3
Alicia Cruz,005456556,F,2.61,1
Brittany Nguyen,005457030,F,1.453,3
Melissa Scott,005493434,F,1.63,2
Tiffany Martin,005493773,F,4.0,1
Rachel Torres,005506430,F,3.724,2
Katherine Hill,005507865,F,0.477,1
Ashley Nguyen,005529636,F,2.329,3
Amanda Turner,005546906,F,4.0,4
John Gutierrez,005581803,M,1.971,1
Sara Ruiz,005593449,F,3.061,4
Sara Anderson,005610635,F,3.446,4
Brian Gomez,005616831,M,2.731,2
Erin Baker,005620619,F,3.171,3
Jesse Allen,005650484,M,0.797,2
Brandon Rogers,005664751,M,3.077,2
Brittany Nelson,005690669,F,3.833,2
Sara Long,005693969,F,2.061,3
Matthew Moore,005698627,M,0.355,4
Kimberly Carter,005700817,F,2.77,3
Thomas Long,005710581,M,2.898,4
Christine Jones,005723710,F,3.687,3
Timothy Young,005727401,M,3.47,4
Samuel Rodriguez,005729224,M,1.392,4
Nicholas Taylor,005762601,M,3.457,3
Jesse Allen,005796922,M,3.321,2
David Ward,005798918,M,4.0,3
Aaron Ward,005800500,M,4.0,4
Matthew Gutierrez,005811397,M,4.0,2
Jesse Hall,005821591,F,0.414,3
Kenneth Jones,005858924,M,4.0,3
James Gomez,005860644,M,2.596,2
Jonathan Myers,005882815,M,2.127,3
Jose Diaz,005885846,M,1.369,4
Courtney Murphy,005886472,F,2.597,4
Adam Cook,005911458,M,0.269,2
Cody Myers,005912891,M,4.0,4
Kevin Flores,005913491,M,0.922,3
John Gonzalez,005919910,M,4.0,4
Travis Bailey,005935366,M,0.382,4
Michelle Edwards,005952935,F,2.273,1
Jose Robinson,005986113,M,4.0,3
Jeremy Mendoza,006017034,M,4.0,2
Patrick Richardson,006038635,M,3.592,2
Robert Evans,006041401,M,1.37,3
Paul Anderson,006044103,M,1.999,1
Matthew Ruiz,006052112,M,1.731,4
Sean Clark,006053113,M,4.0,3
Erin Young,006054549,F,0.342,4
Cody Hughes,006061449,M,4.0,4
Jacob Price,006068817,M,3.233,1
Justin Ruiz,006072514,M,1.606,2
Shannon Cook,006072790,F,2.269,1
Katherine Gutierrez,006079076,F,0.022,2
Laura Green,006092023,F,0.745,2
Tiffany Campbell,006094870,F,0.981,4
Charles Chavez,006105193,M,0.619,2
Jessica Peterson,006108703,F,4.0,3
Laura Scott,006147664,F,2.516,1
Joshua Parker,006162926,M,0.525,2
Aaron Stewart,006168511,M,0.821,2
Stephen Ramirez,006172823,M,2.263,4
James Harris,006173745,M,4.0,3
Jessica Rogers,006179922,F,1.023,1
Stephen Bennett,006183075,M,3.3,1
Eric Bennett,006186703,M,1.307,3
Sarah Wilson,006197576,F,3.745,1
William Perez,006233691,M,1.156,3
Laura Mitchell,006237529,F,2.824,4
Ryan Reyes,006240394,M,3.504,4
Elizabeth Reyes,006258692,F,4.0,2
Brandon Edwards,006279189,M,1.566,4
Rebecca Gray,006294420,F,1.104,3
Jennifer King,006303740,F,2.903,3
Eric Turner,006313171,M,2.294,3
Emily Lewis,006320821,F,2.411,2
Megan Richardson,006342707,F,4.0,4
Brittany Chavez,006366910,F,1.84,4
Brittany Alvarez,006395278,F,0.928,1
Jennifer Roberts,006405404,F,4.0,4
Paul Morales,006432908,M,0.114,3
Crystal Bennett,006456505,F,0.932,2
Kyle Stewart,006457874,M,4.0,2
Ashley Mendoza,006466010,F,0.182,4
Brandon Cruz,006483170,M,1.242,2
Melissa Brooks,006484512,F,1.826,2
Tyler Alvarez,006486821,M,1.341,4
Kenneth Hernandez,006498466,M,0.58,2
Joseph Hall,006513486,M,0.407,3
Crystal Allen,006561133,F,0.356,2
Eric Smith,006570353,M,0.671,1
Michelle Brooks,006577957,F,4.0,2
Sean Davis,006582461,M,2.723,1
Heather Mendoza,006585802,F,3.881,1
Kristen Cox,006586385,F,3.939,1
Dustin Chavez,006591354,M,0.903,4
Bryan Ruiz,006594792,M,1.27,2
Charles Bennett,006598590,M,0.848,1
Adam Adams,006645046,M,2.629,1
Andrew Martin,006649328,M,3.466,3
Nicole Nelson,006660366,F,3.01,4
Brian Hall,006672530,M,4.0,3
Allison Watson,006674302,F,0.678,3
Jesse Gutierrez,006697730,F,2.091,2
Jason Rodriguez,006717029,M,1.259,4
Christina Gomez,006769902,F,0.749,1
Kristen Martin,006774537,F,1.531,4
Rebecca Nelson,006786134,F,3.865,4
Adam Mitchell,006788810,M,0.346,1
Lauren Ruiz,006792384,F,1.007,4
Lauren Nguyen,006815181,F,3.79,1
Brandon Robinson,006841717,M,2.052,1
Sarah Mendoza,006843103,F,3.578,1
Danielle Ramirez,006868635,F,1.728,4
Kristen Hall,006874545,F,1.847,3
Eric Morales,006881405,M,0.607,3
Jesse Wilson,006887863,M,4.0,3
Megan Hall,006893536,F,3.67,3
Katherine King,006907785,F,1.538,1
Scott White,006908694,M,3.563,1
Thomas Bailey,006911812,M,4.0,3
Eric Flores,006956635,M,4.0,3
Amy Moore,006967166,F,1.969,4
Emily Jones,006968718,F,4.0,1
David Jones,006976738,M,1.552,3
Kyle Rivera,006978597,M,2.293,2
Danielle Scott,006996141,F,2.971,4
Timothy Morales,007001558,M,3.093,4
Matthew Reyes,007007650,M,3.203,4
Megan Ramos,007011343,F,3.392,4
Laura Hall,007074015,F,4.0,2
Andrew Harris,007115911,M,4.0,4
Christine Rivera,007165008,F,0.89,1
Erin Edwards,007171991,F,0.32,2
Angela Brown,007188144,F,1.596,4
John Collins,007215264,M,1.05,4
Brittany Mitchell,007226349,F,0.994,2
Jacob Torres,007234768,M,2.393,1
Nicholas Sanders,007240508,M,1.267,2
Cody Young,007247917,M,0.936,4
Andrew Scott,007248998,M,1.434,1
Brittany Taylor,007261579,F,4.0,2
Jesse Brown,007263999,F,0.682,3
Samantha Allen,007279190,F,1.611,1
Justin Phillips,007283165,M,2.591,1
Kimberly Watson,007286711,F,2.361,4
Robert Carter,007294481,M,3.13,4
Timothy Rogers,007303920,M,2.493,4
Amber Baker,007304175,F,3.109,1
Emily Allen,007337877,F,3.866,1
Christopher Hill,007369624,M,0.817,2
Joseph Cooper,007385718,M,1.672,3
Jamie Diaz,007392998,F,4.0,1
Matthew Kim,007405427,M,4.0,1
Benjamin Smith,007409956,M,4.0,4
Jeffrey Bailey,007417876,M,1.682,2
Heather Nelson,007440326,F,1.981,2
Nicole Robinson,007463572,F,1.856,3
Sara Lee,007483301,F,4.0,1
Danielle Rogers,007487782,F,1.555,1
Stephanie Clark,007518429,F,0.253,1
Kenneth Perez,007522722,M,1.268,1
Shannon Campbell,007534573,F,4.0,1
Courtney Edwards,007559540,F,2.032,4
Heather Walker,007559840,F,2.289,2
Mary Ortiz,007567946,F,3.355,3
Amber Moore,007581168,F,4.0,1
Thomas Scott,007583532,M,0.283,2
Emily Jimenez,007594326,F,4.0,2
Benjamin Garcia,007624307,M,3.252,3
Lindsay Gray,007627348,F,3.96,1
Joseph Cooper,007629742,M,1.68,3
Nicole Bennett,007631706,F,1.325,4
Cody Martinez,007632840,M,0.125,2
Emily Thompson,007637593,F,4.0,2
Katherine Cox,007647927,F,1.843,3
Dustin Mitchell,007678451,M,2.579,2
Stephanie Miller,007711506,F,1.4,1
Vanessa Green,007713832,F,1.721,3
Eric Lewis,007718018,M,0.314,3
Lisa Flores,007718849,F,1.987,4
Eric Morgan,007720824,M,4.0,2
Matthew Kim,007725045,M,4.0,1
Joseph Brown,007738490,M,4.0,2
Lauren Gutierrez,007751958,F,0.566,1
Crystal Green,007763004,F,3.319,4
Eric Turner,007792306,M,0.199,3
Christine Myers,007795772,F,1.723,2
Ryan Jones,007802341,M,3.048,4
Christine Ward,007804395,F,3.4,4
Erica Brown,007806760,F,0.464,1
Amanda Moore,007820576,F,0.561,3
Andrea Mendoza,007836170,F,3.47,3
Aaron Gray,007914167,M,0.549,2
Stephanie Martinez,007928128,F,1.265,4
Tyler Brown,007947706,M,2.466,4
Jose Rogers,007965900,M,0.882,1
Crystal Hughes,007969138,F,0.731,4
Elizabeth Howard,007973687,F,1.456,3
Tiffany Howard,007992444,F,2.44,3
Lisa Reed,008042237,F,2.76,1
Rebecca Martin,008063381,F,0.304,2
Katie Chavez,008073824,F,2.825,3
Jesse Martin,008074883,M,0.822,4
Jennifer Morgan,008091636,F,0.696,1
Ryan Diaz,008116497,M,4.0,2
Laura Parker,008130636,F,3.109,3
Heather Wilson,008131635,F,1.641,1
Kevin Lewis,008140083,M,3.818,3
Christine Wood,008142932,F,3.562,1
Lisa Bennett,008144858,F,4.0,4
William Thomas,008146397,M,2.618,4
Nathan Howard,008193214,M,0.661,3
Shannon Cox,008201778,F,0.795,1
Stephen Gomez,008217724,M,3.529,4
Joseph Ramirez,008226943,M,0.145,4
Jose Gray,008254924,M,1.394,1
David Gomez,008267074,M,3.357,4
Lauren Flores,008274576,F,1.67,2
Kenneth Richardson,008276981,M,0.271,3
Jonathan White,008289108,M,4.0,3
Bradley Morgan,008290942,M,1.186,1
Travis Chavez,008319570,M,1.991,2
Courtney Cox,008323326,F,1.317,3
Lindsey Hernandez,008351505,F,3.023,4
Christina Gonzalez,008360418,F,4.0,2
Joshua Young,008378112,M,2.302,2
Angela Richardson,008395503,F,4.0,2
Kevin Flores,008433790,M,2.75,3
Brian Brooks,008435339,M,2.17,2
Christine Williams,008439848,F,1.404,4
Erica Reed,008459289,F,0.205,4
Andrea Scott,008463572,F,2.005,4
Paul Kelly,008497205,M,4.0,2
Jamie Parker,008527656,M,1.089,1
Vanessa Wilson,008535787,F,2.459,2
Kenneth Williams,008555035,M,4.0,1
Lauren Stewart,008578486,F,3.955,2
Sara Hill,008590453,F,1.671,3
Lindsay Hernandez,008602787,F,4.0,3
Kevin Moore,008604012,M,3.066,2
Sean Allen,008631880,M,4.0,4
Nicholas Scott,008645572,M,3.353,4
Charles Clark,008663468,M,0.109,3
Emily Green,008675946,F,3.519,1
Amber Moore,008683161,F,2.402,2
Katherine Ramos,008689312,F,2.017,3
Sara Hughes,008710291,F,3.381,3
Angela Williams,008726913,F,0.889,2
Lindsey Nguyen,008739858,F,2.135,1
Alicia Ramirez,008740927,F,4.0,3
Paul Rodriguez,008744372,M,1.716,1
Ryan Ortiz,008783888,M,0.942,4
Ryan Ruiz,008791209,M,0.501,4
Katherine Jones,008797665,F,2.356,4
Anthony Harris,008837760,M,1.384,1
Bradley Perez,008839759,M,4.0,4
Melissa Cook,008869636,F,0.063,1
Patrick Ortiz,008879673,M,3.433,2
Adam Nguyen,008887410,M,3.794,2
Tiffany Robinson,008907139,F,3.971,3
Nathan Cook,008935104,M,0.1,2
Timothy Johnson,008955612,M,2.109,2
Robert Gray,008960195,M,0.506,3
James Robinson,008975263,M,3.162,1
Jason Thomas,008980643,M,0.797,3
Kevin Patel,008993718,M,3.276,4
Jeremy Patel,009012470,M,2.186,3
Jose Cruz,009016407,M,4.0,4
Jason Rogers,009022397,M,4.0,3
Samuel Morris,009035262,M,0.177,4
Jesse Brown,009060318,F,1.876,4
Lindsay Hughes,009073648,F,2.117,3
Samantha Nguyen,009090713,F,2.777,2
Jason Rivera,009096551,M,1.631,2
Kyle Peterson,009108214,M,0.751,2
Katherine James,009110341,F,4.0,3
Megan Lewis,009117399,F,2.208,1
Adam Young,009120813,M,4.0,1
Mark Jackson,009126452,M,4.0,3
John Ramos,009145002,M,0.922,1
Travis Thompson,009146477,M,0.56,1
Kevin Garcia,009176907,M,4.0,1
Samuel Reyes,009180655,M,3.454,4
Christine Mendoza,009190144,F,3.073,1
Amber Bailey,009209765,F,2.615,1
Samantha Bennett,009213810,F,0.214,3
Bradley Lee,009215207,M,0.724,4
Paul Mendoza,009215827,M,2.045,3
Cody Peterson,009218665,M,2.359,4
Brian Gray,009242033,M,2.372,2
